iter	Passed	Remaining
548	27275	22406
549	27323	22355
550	27372	22305
551	27423	22256
552	27472	22206
553	27520	22155
554	27568	22104
555	27617	22054
556	27665	22003
557	27714	21953
558	27768	21907
559	27818	21857
560	27866	21806
561	27914	21755
562	27963	21705
563	28010	21653
564	28059	21602
565	28108	21553
566	28160	21505
567	28209	21454
568	28258	21405
569	28307	21354
570	28355	21304
571	28403	21252
572	28451	21202
573	28500	21151
574	28547	21100
575	28597	21050
576	28644	20999
577	28693	20949
578	28743	20899
579	28792	20849
580	28840	20798
581	28888	20748
582	28939	20699
583	28988	20649
584	29036	20598
585	29085	20548
586	29134	20498
587	29182	20447
588	29231	20397
589	29281	20347
590	29328	20296
591	29377	20246
592	29426	20196
593	29474	20146
594	29523	20095
595	29571	20044
596	29625	19998
597	29674	19948
598	29722	19897
599	29770	19846
600	29817	19795
601	29866	19745
602	29915	19695
603	29964	19645
604	30013	19595
605	30061	19544
606	30111	19495
607	30160	19445
608	30211	19396
609	30259	19346
610	30308	19295
611	30358	19247
612	30407	19196
613	30455	19146
614	30504	19096
615	30553	19046
616	30604	18997
617	30653	18947
618	30701	18897
619	30749	18846
620	30797	18795
621	30845	18745
622	30894	18695
623	30943	18645
624	30991	18594
625	31039	18544
626	31087	18493
627	31137	18444
628	31185	18394
629	31235	18344
630	31285	18295
631	31334	18245
632	31382	18194
633	31433	18145
634	31482	18096
635	31531	18046
636	31579	17995
637	31628	17945
638	31676	17895
639	31725	17845
640	31775	17796
641	31824	17746
642	31875	17697
643	31925	17647
644	31973	17598
645	32023	17548
646	32072	17498
647	32123	17449
648	32173	17400
649	32222	17350
650	32272	17301
651	32321	17251
652	32370	17201
653	32418	17151
654	32470	17103
655	32520	17053
656	32568	17003
657	32619	16954
658	32669	16904
659	32719	16855
660	32768	16805
661	32816	16755
662	32865	16705
663	32914	16655
664	32963	16605
665	33012	16555
666	33061	16506
667	33111	16456
668	33162	16407
669	33211	16357
670	33259	16307
671	33307	16257
672	33358	16208
673	33406	16157
674	33453	16107
675	33501	16057
676	33550	16006
677	33600	15957
678	33649	15907
679	33698	15858
680	33747	15808
681	33794	15757
682	33841	15706
683	33889	15656
684	33935	15605
685	33983	15555
686	34033	15505
687	34082	15456
688	34135	15408
689	34183	15358
690	34231	15307
691	34280	15257
692	34327	15207
693	34375	15156
694	34427	15108
695	34476	15058
696	34524	15008
697	34577	14960
698	34628	14911
699	34677	14861
700	34727	14812
701	34776	14762
702	34823	14712
703	34872	14662
704	34919	14611
705	34966	14561
706	35013	14510
707	35062	14460
708	35111	14411
709	35160	14361
710	35210	14312
711	35258	14261
712	35306	14211
713	35354	14161
714	35403	14111
715	35456	14063
716	35504	14013
717	35552	13963
718	35601	13913
719	35650	13863
720	35701	13815
721	35749	13765
722	35797	13714
723	35845	13664
724	35894	13615
725	35943	13565
726	35992	13515
727	36041	13466
728	36091	13416
729	36140	13367
730	36189	13317
731	36239	13267
732	36288	13218
733	36336	13168
734	36388	13119
735	36437	13069
736	36485	13019
737	36533	12969
738	36583	12920
739	36631	12870
740	36681	12821
741	36730	12771
742	36778	12721
743	36827	12671
744	36876	12622
745	36925	12572
746	36974	12522
747	37022	12472
748	37072	12423
749	37120	12373
750	37170	12324
751	37220	12274
752	37269	12225
753	37317	12175
754	37366	12125
755	37419	12077
756	37468	12027
757	37516	11977
758	37566	11928
759	37618	11879
760	37669	11830
761	37721	11781
762	37771	11732
763	37821	11683
764	37871	11633
765	37922	11584
766	37973	11535
767	38022	11485
768	38073	11436
769	38122	11387
770	38169	11337
771	38220	11287
772	38268	11237
773	38319	11188
774	38369	11139
775	38419	11090
776	38467	11040
777	38517	10990
778	38566	10941
779	38617	10892
780	38667	10842
781	38717	10793
782	38766	10743
783	38815	10694
784	38865	10644
785	38915	10595
786	38964	10545
787	39013	10496
788	39065	10447
789	39113	10397
790	39163	10347
791	39211	10298
792	39260	10248
793	39308	10198
794	39356	10148
795	39405	10098
796	39454	10049
797	39504	9999
798	39553	9950
799	39603	9900
800	39652	9851
801	39703	9802
802	39752	9752
803	39802	9703
804	39850	9653
805	39899	9603
806	39948	9554
807	39998	9504
808	40047	9454
809	40099	9405
810	40148	9356
811	40197	9306
812	40245	9256
813	40294	9207
814	40343	9157
815	40396	9108
816	40444	9059
817	40495	9010
818	40544	8960
819	40595	8911
820	40645	8861
821	40694	8812
822	40744	8762
823	40793	8713
824	40843	8663
825	40893	8614
826	40942	8564
827	40992	8515
828	41042	8465
829	41094	8416
830	41145	8367
831	41194	8318
832	41242	8268
833	41291	8218
834	41343	8169
835	41392	8119
836	41441	8070
837	41490	8020
838	41540	7971
839	41590	7921
840	41639	7872
841	41689	7823
842	41740	7773
843	41789	7724
844	41838	7674
845	41888	7625
846	41938	7575
847	41989	7526
848	42037	7476
849	42088	7427
850	42138	7377
851	42188	7328
852	42238	7279
853	42287	7229
854	42336	7179
855	42387	7130
856	42436	7080
857	42486	7031
858	42536	6982
859	42587	6932
860	42636	6883
861	42686	6833
862	42736	6784
863	42786	6734
864	42835	6685
865	42884	6635
866	42933	6586
867	42984	6536
868	43034	6487
869	43084	6437
870	43135	6388
871	43184	6339
872	43234	6289
873	43284	6240
874	43336	6190
875	43385	6141
876	43434	6091
877	43482	6042
878	43531	5992
879	43582	5943
880	43631	5893
881	43681	5843
882	43731	5794
883	43780	5744
884	43830	5695
885	43879	5645
886	43927	5596
887	43975	5546
888	44022	5496
889	44072	5447
890	44120	5397
891	44170	5347
892	44217	5298
893	44267	5248
894	44314	5198
895	44365	5149
896	44414	5099
897	44463	5050
898	44511	5000
899	44560	4951
900	44610	4901
901	44661	4852
902	44710	4802
903	44760	4753
904	44810	4703
905	44859	4654
906	44908	4604
907	44956	4555
908	45005	4505
909	45055	4456
910	45104	4406
911	45152	4356
912	45201	4307
913	45248	4257
914	45296	4207
915	45345	4158
916	45397	4109
917	45445	4059
918	45492	4009
919	45540	3960
920	45589	3910
921	45638	3860
922	45685	3811
923	45734	3761
924	45782	3712
925	45831	3662
926	45879	3612
927	45927	3563
928	45975	3513
929	46024	3464
930	46074	3414
931	46123	3365
932	46172	3315
933	46222	3266
934	46272	3216
935	46325	3167
936	46375	3118
937	46424	3068
938	46474	3019
939	46523	2969
940	46574	2920
941	46623	2870
942	46672	2821
943	46722	2771
944	46771	2722
945	46820	2672
946	46870	2623
947	46919	2573
948	46968	2524
949	47017	2474
950	47066	2425
951	47113	2375
952	47163	2325
953	47211	2276
954	47260	2226
955	47309	2177
956	47362	2128
957	47412	2078
958	47460	2029
959	47510	1979
960	47559	1930
961	47609	1880
962	47659	1831
963	47708	1781
964	47758	1732
965	47807	1682
966	47856	1633
967	47905	1583
968	47953	1534
969	48002	1484
970	48051	1435
971	48100	1385
972	48147	1336
973	48195	1286
974	48248	1237
975	48296	1187
976	48344	1138
977	48396	1088
978	48443	1039
979	48492	989
980	48540	940
981	48588	890
982	48637	841
983	48686	791
984	48734	742
985	48782	692
986	48830	643
987	48878	593
988	48926	544
989	48974	494
990	49022	445
991	49073	395
992	49122	346
993	49172	296
994	49221	247
995	49270	197
996	49320	148
997	49373	98
998	49421	49
999	49470	0
